dataset,rmse,mae,bucketLength,numHashTables,threshold,top_k,timestamp
100k,0.9812836107849514,0.7425269098451941,4.0,5,1.2,10,20250605_013337
100k,0.9514445561728352,0.7175686146753865,4.0,5,1.2,20,20250605_013416
100k,0.9330694208522412,0.7060141774139098,4.0,5,1.2,30,20250605_013456
100k,1.1494717146041828,0.9315849596707264,4.0,7,0.8,10,20250605_013521
100k,1.1494717146041828,0.9315849596707264,4.0,7,0.8,20,20250605_013545
100k,1.1494717146041828,0.9315849596707264,4.0,7,0.8,30,20250605_013610
100k,1.0440926167392854,0.8115068487963332,4.0,7,1.0,10,20250605_013638
100k,1.0410945140949062,0.8095132278173063,4.0,7,1.0,20,20250605_013706
100k,1.0410453668594832,0.8100034578290832,4.0,7,1.0,30,20250605_013733
100k,0.9816520750239958,0.7430285511561417,4.0,7,1.2,10,20250605_013810
100k,0.951430268728392,0.717879880959443,4.0,7,1.2,20,20250605_013851
100k,0.9322658378260408,0.7060326151731544,4.0,7,1.2,30,20250605_013933
100k,1.1508164647488568,0.9336701852738076,5.0,1,0.8,10,20250605_013957
100k,1.1508164647488568,0.9336701852738076,5.0,1,0.8,20,20250605_014020
100k,1.1508164647488568,0.9336701852738076,5.0,1,0.8,30,20250605_014043
100k,1.0637897773055722,0.8329713537750348,5.0,1,1.0,10,20250605_014105
100k,1.0622761401176324,0.8323082403153087,5.0,1,1.0,20,20250605_014129
100k,1.0625107443485735,0.8326101016535816,5.0,1,1.0,30,20250605_014151
100k,0.992622008234524,0.7533452630173505,5.0,1,1.2,10,20250605_014217
100k,0.9541727362510316,0.7249371074540906,5.0,1,1.2,20,20250605_014249
100k,0.9444708805571628,0.7171346682791082,5.0,1,1.2,30,20250605_014322
100k,1.149460752293081,0.93153455644492,5.0,3,0.8,10,20250605_014347
100k,1.149460752293081,0.93153455644492,5.0,3,0.8,20,20250605_014412
100k,1.149460752293081,0.93153455644492,5.0,3,0.8,30,20250605_014436
100k,1.0455613765228742,0.8128091569897651,5.0,3,1.0,10,20250605_014500
100k,1.04270286680601,0.8108718457086697,5.0,3,1.0,20,20250605_014524
100k,1.042844017380803,0.811439623705257,5.0,3,1.0,30,20250605_014548
100k,0.981734981778368,0.7428729686498103,5.0,3,1.2,10,20250605_014616
100k,0.9532749801732808,0.7195655418532482,5.0,3,1.2,20,20250605_014650
100k,0.9351193175300846,0.7075332073702431,5.0,3,1.2,30,20250605_014724
100k,1.1494717146041828,0.9315849596707264,5.0,5,0.8,10,20250605_014747
100k,1.1494717146041828,0.9315849596707264,5.0,5,0.8,20,20250605_014810
100k,1.1494717146041828,0.9315849596707264,5.0,5,0.8,30,20250605_014833
100k,1.0440926167392854,0.8115068487963332,5.0,5,1.0,10,20250605_014856
100k,1.0411047381614589,0.8095312772043363,5.0,5,1.0,20,20250605_014919
100k,1.041051705174416,0.8100099140129299,5.0,5,1.0,30,20250605_014943
100k,0.9812836107849514,0.7425269098451941,5.0,5,1.2,10,20250605_015013
100k,0.9514445561728352,0.7175686146753865,5.0,5,1.2,20,20250605_015050
100k,0.9330694208522412,0.7060141774139098,5.0,5,1.2,30,20250605_015126
100k,1.1494717146041828,0.9315849596707264,5.0,7,0.8,10,20250605_015150
100k,1.1494717146041828,0.9315849596707264,5.0,7,0.8,20,20250605_015214
100k,1.1494717146041828,0.9315849596707264,5.0,7,0.8,30,20250605_015238
100k,1.0440926167392854,0.8115068487963332,5.0,7,1.0,10,20250605_015303
100k,1.0410945140949062,0.8095132278173063,5.0,7,1.0,20,20250605_015327
100k,1.0410453668594832,0.8100034578290832,5.0,7,1.0,30,20250605_015353
100k,0.9816520750239958,0.7430285511561417,5.0,7,1.2,10,20250605_015427
100k,0.951430268728392,0.717879880959443,5.0,7,1.2,20,20250605_015506
100k,0.9322658378260409,0.7060326151731544,5.0,7,1.2,30,20250605_015546
